finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
C2_4_women_local_no,12,Chart 2.4,"Well prepared to deal with a disaster: local government, % no, women",42,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_women_hospitals_yes,12,Chart 2.4,"Well prepared to deal with a disaster: hospitals, % yes, women",54,pct,,chart,N,,
C2_4_women_hospitals_no,12,Chart 2.4,"Well prepared to deal with a disaster: hospitals, % no, women",38,pct,,chart,N,,
C2_4_women_family_yes,12,Chart 2.4,"Well prepared to deal with a disaster: you and your family, % yes, women",47,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_women_family_no,12,Chart 2.4,"Well prepared to deal with a disaster: you and your family, % no, women",42,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_men_national_yes,12,Chart 2.4,"Well prepared to deal with a disaster: national government, % yes, men",52,pct,,chart,N,,
C2_4_men_national_no,12,Chart 2.4,"Well prepared to deal with a disaster: national government, % no, men",39,pct,,chart,N,,
C2_4_men_local_yes,12,Chart 2.4,"Well prepared to deal with a disaster: local government, % yes, men",56,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_men_local_no,12,Chart 2.4,"Well prepared to deal with a disaster: local government, % no, men",38,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_men_hospitals_yes,12,Chart 2.4,"Well prepared to deal with a disaster: hospitals, % yes, men",55,pct,,chart,N,,
C2_4_men_hospitals_no,12,Chart 2.4,"Well prepared to deal with a disaster: hospitals, % no, men",38,pct,,chart,N,,
C2_4_men_family_yes,12,Chart 2.4,"Well prepared to deal with a disaster: you and your family, % yes, men",49,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
C2_4_men_family_no,12,Chart 2.4,"Well prepared to deal with a disaster: you and your family, % no, men",42,pct,,chart,N,,"The values printed in the 'Local government' and 'You and your family' panels are swapped: they match the other panel's question in the data, and the text on the same page (family 5 points, local government 2 points) matches the data."
X29_national,12,Chapter 2,"Gap (men minus women), % say national government well prepared for a disaster",2,pct,,text,N,,
X29_hospitals,12,Chapter 2,"Gap (men minus women), % say hospitals well prepared for a disaster",1,pct,,text,N,,
X29_family,12,Chapter 2,"Gap (men minus women), % say you and your family well prepared for a disaster",5,pct,,text,N,,
X29_local,12,Chapter 2,"Gap (men minus women), % say local government well prepared for a disaster",2,pct,,text,N,,
T2_1_women_weather_service,13,Table 2.1,"Trust most for information about a disaster: The national weather service, women",15,pct,,table,N,,
T2_1_men_weather_service,13,Table 2.1,"Trust most for information about a disaster: The national weather service, men",17,pct,,table,N,,
T2_1_women_disaster_agency,13,Table 2.1,"Trust most for information about a disaster: The national disaster management agency, women",9,pct,,table,N,,
T2_1_men_disaster_agency,13,Table 2.1,"Trust most for information about a disaster: The national disaster management agency, men",11,pct,,table,N,,
T2_1_women_local_news,13,Table 2.1,"Trust most for information about a disaster: Local news through newspapers, television or radio, women",32,pct,,table,N,,
T2_1_men_local_news,13,Table 2.1,"Trust most for information about a disaster: Local news through newspapers, television or radio, men",30,pct,,table,N,,
T2_1_women_religious,13,Table 2.1,"Trust most for information about a disaster: Local religious leaders, women",4,pct,,table,N,,
T2_1_men_religious,13,Table 2.1,"Trust most for information about a disaster: Local religious leaders, men",4,pct,,table,N,,
T2_1_women_famous,13,Table 2.1,"Trust most for information about a disaster: A famous or influential person you like, women",2,pct,,table,N,,
T2_1_men_famous,13,Table 2.1,"Trust most for information about a disaster: A famous or influential person you like, men",2,pct,,table,N,,
T2_1_women_emergency,13,Table 2.1,"Trust most for information about a disaster: Emergency services, women",14,pct,,table,N,,
T2_1_men_emergency,13,Table 2.1,"Trust most for information about a disaster: Emergency services, men",13,pct,,table,N,,
T2_1_women_internet,13,Table 2.1,"Trust most for information about a disaster: Internet/social media, women",13,pct,,table,N,,
T2_1_men_internet,13,Table 2.1,"Trust most for information about a disaster: Internet/social media, men",16,pct,,table,N,,
T2_1_women_none,13,Table 2.1,"Trust most for information about a disaster: Would trust none of them, women",2,pct,,table,N,,
T2_1_men_none,13,Table 2.1,"Trust most for information about a disaster: Would trust none of them, men",2,pct,,table,N,,
T2_1_women_other,13,Table 2.1,"Trust most for information about a disaster: Some other source, women",3,pct,,table,N,,
T2_1_men_other,13,Table 2.1,"Trust most for information about a disaster: Some other source, men",3,pct,,table,N,,
T2_1_women_dk,13,Table 2.1,"Trust most for information about a disaster: Don't know/refused, women",6,pct,,table,N,,
T2_1_men_dk,13,Table 2.1,"Trust most for information about a disaster: Don't know/refused, men",4,pct,,table,N,,
X30_local_news,13,Chapter 2,"Gap (women minus men), % trust local news most",2,pct,,text,N,,
X30_weather_service,13,Chapter 2,"Gap (men minus women), % trust the national weather service most",2,pct,,text,N,,
X30_disaster_agency,13,Chapter 2,"Gap (men minus women), % trust the national disaster management agency most",2,pct,,text,N,,
X30_internet,13,Chapter 2,"Gap (men minus women), % trust the internet/social media most",3,pct,,text,N,,
C2_5_women_yes,13,Chart 2.5,"Could protect yourself or your family from a disaster: % yes, women",49,pct,,chart,N,,
C2_5_women_no,13,Chart 2.5,"Could protect yourself or your family from a disaster: % no, women",39,pct,,chart,N,,
C2_5_women_depends,13,Chart 2.5,"Could protect yourself or your family from a disaster: % it depends, women",6,pct,,chart,N,,
C2_5_women_dk,13,Chart 2.5,"Could protect yourself or your family from a disaster: % don't know/refused, women",6,pct,,chart,N,,
C2_5_men_yes,13,Chart 2.5,"Could protect yourself or your family from a disaster: % yes, men",56,pct,,chart,N,,
C2_5_men_no,13,Chart 2.5,"Could protect yourself or your family from a disaster: % no, men",33,pct,,chart,N,,
C2_5_men_depends,13,Chart 2.5,"Could protect yourself or your family from a disaster: % it depends, men",6,pct,,chart,N,,
C2_5_men_dk,13,Chart 2.5,"Could protect yourself or your family from a disaster: % don't know/refused, men",5,pct,,chart,N,,
X31,13,Chapter 2,"Gap (men minus women), % could protect themselves or family from a disaster",7,pct,,text,N,,
C2_6_women_yes,14,Chart 2.6,"Household has a disaster plan all members know: % yes, women",31,pct,,chart,N,,
C2_6_women_no,14,Chart 2.6,"Household has a disaster plan all members know: % no, women",65,pct,,chart,N,,
C2_6_men_yes,14,Chart 2.6,"Household has a disaster plan all members know: % yes, men",36,pct,,chart,N,,
C2_6_men_no,14,Chart 2.6,"Household has a disaster plan all members know: % no, men",61,pct,,chart,N,,
X32,14,Chapter 2,"Gap (men minus women), % household has a disaster plan",5,pct,,text,N,,
C2_7_women_electricity_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: electricity, % yes, women",43,pct,,chart,N,,
C2_7_women_electricity_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: electricity, % no, women",56,pct,,chart,N,,
C2_7_women_medical_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: medicine/medical help, % yes, women",22,pct,,chart,N,,
C2_7_women_medical_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: medicine/medical help, % no, women",77,pct,,chart,N,,
C2_7_women_water_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: clean drinking water, % yes, women",26,pct,,chart,N,,
C2_7_women_water_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: clean drinking water, % no, women",74,pct,,chart,N,,
C2_7_women_food_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: food, % yes, women",17,pct,,chart,N,,
C2_7_women_food_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: food, % no, women",83,pct,,chart,N,,
C2_7_women_telephone_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: telephone, % yes, women",23,pct,,chart,N,,
C2_7_women_telephone_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: telephone, % no, women",74,pct,,chart,N,,
C2_7_men_electricity_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: electricity, % yes, men",42,pct,,chart,N,,
C2_7_men_electricity_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: electricity, % no, men",57,pct,,chart,N,,
C2_7_men_medical_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: medicine/medical help, % yes, men",20,pct,,chart,N,,
C2_7_men_medical_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: medicine/medical help, % no, men",79,pct,,chart,N,,
C2_7_men_water_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: clean drinking water, % yes, men",24,pct,,chart,N,,
C2_7_men_water_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: clean drinking water, % no, men",76,pct,,chart,N,,
C2_7_men_food_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: food, % yes, men",15,pct,,chart,N,,
C2_7_men_food_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: food, % no, men",85,pct,,chart,N,,
C2_7_men_telephone_yes,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: telephone, % yes, men",23,pct,,chart,N,,
C2_7_men_telephone_no,14,Chart 2.7,"Lost access to vital services for more than a day in the past 12 months: telephone, % no, men",75,pct,,chart,N,,
X33_food,14,Chapter 2,"Gap (women minus men), % went without food for more than a day",2,pct,,text,N,,
X33_water,14,Chapter 2,"Gap (women minus men), % went without clean drinking water for more than a day",2,pct,,text,N,,
X33_medical,14,Chapter 2,"Gap (women minus men), % went without medical help for more than a day",2,pct,,text,N,,
C2_8_women_yes,15,Chart 2.8,"Ever experienced any discrimination: % yes, women",22,pct,,chart,N,,"The chart legend reads Yes then No, but the values only match the data with the larger segment as No: 22% of women and 20% of men report any discrimination. Respondents in countries not asked the questions are counted as No, which is what reproduces the published figures."
C2_8_women_no,15,Chart 2.8,"Ever experienced any discrimination: % no, women",78,pct,,chart,N,,"The chart legend reads Yes then No, but the values only match the data with the larger segment as No: 22% of women and 20% of men report any discrimination. Respondents in countries not asked the questions are counted as No, which is what reproduces the published figures."
C2_8_men_yes,15,Chart 2.8,"Ever experienced any discrimination: % yes, men",20,pct,,chart,N,,"The chart legend reads Yes then No, but the values only match the data with the larger segment as No: 22% of women and 20% of men report any discrimination. Respondents in countries not asked the questions are counted as No, which is what reproduces the published figures."
C2_8_men_no,15,Chart 2.8,"Ever experienced any discrimination: % no, men",80,pct,,chart,N,,"The chart legend reads Yes then No, but the values only match the data with the larger segment as No: 22% of women and 20% of men report any discrimination. Respondents in countries not asked the questions are counted as No, which is what reproduces the published figures."
X34,15,Chapter 2,"Gap (men minus women), % experienced any discrimination ('women slightly less likely, by 2 points')",2,pct,,text,N,,"The data, and the chart, show women 2 points more likely, not less."
C2_9_women_skin_yes,15,Chart 2.9,"Experienced discrimination, by type: colour of skin, % yes, women",9,pct,,chart,N,,
C2_9_women_skin_no,15,Chart 2.9,"Experienced discrimination, by type: colour of skin, % no, women",90,pct,,chart,N,,
C2_9_women_nationality_yes,15,Chart 2.9,"Experienced discrimination, by type: nationality/ethnic group, % yes, women",11,pct,,chart,N,,
C2_9_women_nationality_no,15,Chart 2.9,"Experienced discrimination, by type: nationality/ethnic group, % no, women",88,pct,,chart,N,,
C2_9_women_religion_yes,15,Chart 2.9,"Experienced discrimination, by type: religion, % yes, women",11,pct,,chart,N,,
C2_9_women_religion_no,15,Chart 2.9,"Experienced discrimination, by type: religion, % no, women",88,pct,,chart,N,,
C2_9_women_gender_yes,15,Chart 2.9,"Experienced discrimination, by type: gender, % yes, women",13,pct,,chart,N,,
C2_9_women_gender_no,15,Chart 2.9,"Experienced discrimination, by type: gender, % no, women",86,pct,,chart,N,,
C2_9_women_disability_yes,15,Chart 2.9,"Experienced discrimination, by type: disability, % yes, women",6,pct,,chart,N,,
C2_9_women_disability_no,15,Chart 2.9,"Experienced discrimination, by type: disability, % no, women",77,pct,,chart,N,,
C2_9_women_disability_na,15,Chart 2.9,"Experienced discrimination, by type: disability, % not applicable, women",16,pct,,chart,N,,
C2_9_men_skin_yes,15,Chart 2.9,"Experienced discrimination, by type: colour of skin, % yes, men",10,pct,,chart,N,,
C2_9_men_skin_no,15,Chart 2.9,"Experienced discrimination, by type: colour of skin, % no, men",89,pct,,chart,N,,
C2_9_men_nationality_yes,15,Chart 2.9,"Experienced discrimination, by type: nationality/ethnic group, % yes, men",13,pct,,chart,N,,
C2_9_men_nationality_no,15,Chart 2.9,"Experienced discrimination, by type: nationality/ethnic group, % no, men",86,pct,,chart,N,,
C2_9_men_religion_yes,15,Chart 2.9,"Experienced discrimination, by type: religion, % yes, men",12,pct,,chart,N,,
C2_9_men_religion_no,15,Chart 2.9,"Experienced discrimination, by type: religion, % no, men",86,pct,,chart,N,,"Published yes + no = 98 although don't know, refused and not applicable total under 1% in the data."
C2_9_men_gender_yes,15,Chart 2.9,"Experienced discrimination, by type: gender, % yes, men",8,pct,,chart,N,,
C2_9_men_gender_no,15,Chart 2.9,"Experienced discrimination, by type: gender, % no, men",91,pct,,chart,N,,
C2_9_men_disability_yes,15,Chart 2.9,"Experienced discrimination, by type: disability, % yes, men",6,pct,,chart,N,,
C2_9_men_disability_no,15,Chart 2.9,"Experienced discrimination, by type: disability, % no, men",81,pct,,chart,N,,
C2_9_men_disability_na,15,Chart 2.9,"Experienced discrimination, by type: disability, % not applicable, men",12,pct,,chart,N,,
X35_disability,15,Chapter 2,"Gap (women minus men), % discrimination due to disability ('no difference')",0,pct,,text,N,,
X35_skin,15,Chapter 2,"Gap (men minus women), % discrimination due to skin colour",1,pct,,text,N,,
X35_religion,15,Chapter 2,"Gap (men minus women), % discrimination due to religion",1,pct,,text,N,,
X35_nationality,15,Chapter 2,"Gap (men minus women), % discrimination due to nationality/ethnic group",2,pct,,text,N,,
X35_gender,15,Chapter 2,"Gap (women minus men), % discrimination due to gender",5,pct,,text,N,,
C3_1_women_yes,16,Chart 3.1,"Used the internet or social media in the past 30 days: % yes, women",59,pct,,chart,N,,
C3_1_women_no,16,Chart 3.1,"Used the internet or social media in the past 30 days: % no, women",40,pct,,chart,N,,
C3_1_men_yes,16,Chart 3.1,"Used the internet or social media in the past 30 days: % yes, men",66,pct,,chart,N,,
C3_1_men_no,16,Chart 3.1,"Used the internet or social media in the past 30 days: % no, men",33,pct,,chart,N,,
X36,16,Chapter 3,"Gap (men minus women), % used the internet in the past 30 days",7,pct,,text,N,,
C3_2_women_very,17,Chart 3.2,"Worried online personal information could be stolen: % very worried, women",46,pct,,chart,N,,
C3_2_women_somewhat,17,Chart 3.2,"Worried online personal information could be stolen: % somewhat worried, women",34,pct,,chart,N,,
C3_2_women_not,17,Chart 3.2,"Worried online personal information could be stolen: % not worried, women",19,pct,,chart,N,,
C3_2_men_very,17,Chart 3.2,"Worried online personal information could be stolen: % very worried, men",42,pct,,chart,N,,
C3_2_men_somewhat,17,Chart 3.2,"Worried online personal information could be stolen: % somewhat worried, men",33,pct,,chart,N,,
C3_2_men_not,17,Chart 3.2,"Worried online personal information could be stolen: % not worried, men",24,pct,,chart,N,,
X37_very,17,Chapter 3,"Gap (women minus men), % very worried personal information stolen",4,pct,,text,N,,
X37_somewhat,17,Chapter 3,"Gap (women minus men), % somewhat worried personal information stolen ('no difference')",0,pct,,text,N,,
C3_3_women_very,17,Chart 3.3,"Worried online personal information could be used by companies: % very worried, women",42,pct,,chart,N,,
C3_3_women_somewhat,17,Chart 3.3,"Worried online personal information could be used by companies: % somewhat worried, women",35,pct,,chart,N,,
C3_3_women_not,17,Chart 3.3,"Worried online personal information could be used by companies: % not worried, women",22,pct,,chart,N,,
C3_3_men_very,17,Chart 3.3,"Worried online personal information could be used by companies: % very worried, men",39,pct,,chart,N,,
C3_3_men_somewhat,17,Chart 3.3,"Worried online personal information could be used by companies: % somewhat worried, men",33,pct,,chart,N,,
C3_3_men_not,17,Chart 3.3,"Worried online personal information could be used by companies: % not worried, men",27,pct,,chart,N,,
X38_very,17,Chapter 3,"Gap (women minus men), % very worried personal information used by companies",3,pct,,text,N,,
X38_somewhat,17,Chapter 3,"Gap (women minus men), % somewhat worried personal information used by companies",2,pct,,text,N,,
C3_4_women_very,18,Chart 3.4,"Worried online personal information could be used by the government: % very worried, women",37,pct,,chart,N,,
C3_4_women_somewhat,18,Chart 3.4,"Worried online personal information could be used by the government: % somewhat worried, women",33,pct,,chart,N,,
C3_4_women_not,18,Chart 3.4,"Worried online personal information could be used by the government: % not worried, women",29,pct,,chart,N,,
C3_4_men_very,18,Chart 3.4,"Worried online personal information could be used by the government: % very worried, men",37,pct,,chart,N,,
C3_4_men_somewhat,18,Chart 3.4,"Worried online personal information could be used by the government: % somewhat worried, men",30,pct,,chart,N,,
C3_4_men_not,18,Chart 3.4,"Worried online personal information could be used by the government: % not worried, men",32,pct,,chart,N,,
X39_somewhat,18,Chapter 3,"Gap (women minus men), % somewhat worried personal information used by government",3,pct,,text,N,,
X39_very,18,Chapter 3,"Gap (women minus men), % very worried personal information used by government ('no difference')",0,pct,,text,N,,
C3_5_women_yes,19,Chart 3.5,"Would feel safe in a driverless car: % yes, would feel safe, women",24,pct,,chart,N,,
C3_5_women_no,19,Chart 3.5,"Would feel safe in a driverless car: % no, would not feel safe, women",69,pct,,chart,N,,
C3_5_women_dk,19,Chart 3.5,"Would feel safe in a driverless car: % don't know/refused, women",7,pct,,chart,N,,
C3_5_men_yes,19,Chart 3.5,"Would feel safe in a driverless car: % yes, would feel safe, men",31,pct,,chart,N,,
C3_5_men_no,19,Chart 3.5,"Would feel safe in a driverless car: % no, would not feel safe, men",61,pct,,chart,N,,
C3_5_men_dk,19,Chart 3.5,"Would feel safe in a driverless car: % don't know/refused, men",8,pct,,chart,N,,
X40,19,Chapter 3,"Gap (men minus women), % would feel safe in a driverless car",7,pct,,text,N,,
C3_6_women_help,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % mostly help, women",36,pct,,chart,N,,
C3_6_women_harm,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % mostly harm, women",29,pct,,chart,N,,
C3_6_women_no_opinion,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % don't have an opinion, women",24,pct,,chart,N,,
C3_6_women_dk,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % don't know/refused, women",8,pct,,chart,N,,
C3_6_men_help,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % mostly help, men",42,pct,,chart,N,,
C3_6_men_harm,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % mostly harm, men",27,pct,,chart,N,,
C3_6_men_no_opinion,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % don't have an opinion, men",20,pct,,chart,N,,
C3_6_men_dk,19,Chart 3.6,"Artificial intelligence will mostly help or harm people in the next 20 years: % don't know/refused, men",8,pct,,chart,N,,
X41_help,19,Chapter 3,"Gap (men minus women), % AI will mostly help",6,pct,,text,N,,
X41_harm,19,Chapter 3,"Gap (women minus men), % AI will mostly harm",2,pct,,text,N,,
X41_no_opinion,19,Chapter 3,"Gap (women minus men), % no opinion on AI",4,pct,,text,N,,
C4_1_women_worked,20,Chart 4.1,"Currently working or have ever worked: % working or have worked, women",86,pct,,chart,N,,
C4_1_women_never,20,Chart 4.1,"Currently working or have ever worked: % never worked, women",14,pct,,chart,N,,
C4_1_men_worked,20,Chart 4.1,"Currently working or have ever worked: % working or have worked, men",94,pct,,chart,N,,
C4_1_men_never,20,Chart 4.1,"Currently working or have ever worked: % never worked, men",6,pct,,chart,N,,
X42,20,Chapter 4,"Gap (women minus men), % never worked",8,pct,,text,N,,
C4_2_women_employed,21,Chart 4.2,"Current employment status, those who have ever worked: % employed, women",50,pct,,chart,N,,
C4_2_women_unemployed,21,Chart 4.2,"Current employment status, those who have ever worked: % unemployed, women",8,pct,,chart,N,,
C4_2_women_out,21,Chart 4.2,"Current employment status, those who have ever worked: % out of workforce, women",42,pct,,chart,N,,
C4_2_women_ex_full_time,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % full time, women",40,pct,,chart,N,,
C4_2_women_ex_part_time,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % part time, women",28,pct,,chart,N,,
C4_2_women_ex_self,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % self-employed, women",19,pct,,chart,N,,
C4_2_women_ex_unemployed,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % unemployed, women",13,pct,,chart,N,,
C4_2_men_employed,21,Chart 4.2,"Current employment status, those who have ever worked: % employed, men",70,pct,,chart,N,,
C4_2_men_unemployed,21,Chart 4.2,"Current employment status, those who have ever worked: % unemployed, men",7,pct,,chart,N,,
C4_2_men_out,21,Chart 4.2,"Current employment status, those who have ever worked: % out of workforce, men",23,pct,,chart,N,,
C4_2_men_ex_full_time,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % full time, men",48,pct,,chart,N,,
C4_2_men_ex_part_time,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % part time, men",18,pct,,chart,N,,
C4_2_men_ex_self,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % self-employed, men",25,pct,,chart,N,,
C4_2_men_ex_unemployed,21,Chart 4.2,"Current employment status, those who have ever worked: excluding out of workforce, % unemployed, men",9,pct,,chart,N,,
X43_out,21,Chapter 4,"Gap (women minus men), % out of the workforce (ever worked)",19,pct,,text,N,,
X43_part_time,21,Chapter 4,"Gap (women minus men), % part time (excluding out of workforce)",10,pct,,text,N,,
X43_full_time,21,Chapter 4,"Gap (men minus women), % full time (excluding out of workforce)",8,pct,,text,N,,
X43_self,21,Chapter 4,"Gap (men minus women), % self-employed (excluding out of workforce)",6,pct,,text,N,,
C4_3_women_none,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % none, women",80,pct,,chart,N,,
C4_3_women_one,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % one form, women",14,pct,,chart,N,,
C4_3_women_two,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % two forms, women",5,pct,,chart,N,,
C4_3_men_none,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % none, men",78,pct,,chart,N,,
C4_3_men_one,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % one form, men",16,pct,,chart,N,,
C4_3_men_two,21,Chart 4.3,"Number of forms of violence and harassment at work ever experienced (ever worked): % two forms, men",5,pct,,chart,N,,
X44,21,Chapter 4,"Gap (men minus women), % experienced any violence and harassment at work",2,pct,,text,N,,
C4_4_women_psych,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % psychological only, women",47,pct,,chart,N,,
C4_4_women_sexual,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual only, women",12,pct,,chart,N,,
C4_4_women_sexual_psych,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual + psychological, women",11,pct,,chart,N,,
C4_4_women_psych_physical,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % psychological + physical, women",11,pct,,chart,N,,
C4_4_women_physical,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % physical only, women",9,pct,,chart,N,,
C4_4_women_all_three,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual + physical + psychological, women",7,pct,,chart,N,,
C4_4_women_sexual_physical,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual + physical, women",2,pct,,chart,N,,
C4_4_men_psych,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % psychological only, men",49,pct,,chart,N,,
C4_4_men_sexual,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual only, men",4.5,pct,1,chart,N,,
C4_4_men_sexual_psych,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual + psychological, men",4.5,pct,1,chart,N,,
C4_4_men_psych_physical,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % psychological + physical, men",20,pct,,chart,N,,
C4_4_men_physical,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % physical only, men",16,pct,,chart,N,,
C4_4_men_all_three,22,Chart 4.4,"Types of violence and harassment experienced, among those who experienced any: % sexual + physical + psychological, men",5,pct,,chart,N,,
X45_women,22,Chapter 4,Women who experienced any V&H at work: % with a sexual element,33,pct,,text,N,,
X45_men,22,Chapter 4,Men who experienced any V&H at work: % with a sexual element,15,pct,,text,N,,
C4_5_women_yes,23,Chart 4.5,"Ever experienced physical violence and harassment at work (ever worked): % yes, women",6,pct,,chart,N,,
C4_5_women_no,23,Chart 4.5,"Ever experienced physical violence and harassment at work (ever worked): % no, women",94,pct,,chart,N,,
C4_5_men_yes,23,Chart 4.5,"Ever experienced physical violence and harassment at work (ever worked): % yes, men",8,pct,,chart,N,,
C4_5_men_no,23,Chart 4.5,"Ever experienced physical violence and harassment at work (ever worked): % no, men",92,pct,,chart,N,,
C4_5_women_once_twice,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % once or twice, women",43,pct,,chart,N,,
C4_5_women_three_five,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % three to five times, women",24,pct,,chart,N,,
C4_5_women_more_five,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % more than five times, women",32,pct,,chart,N,,
C4_5_men_once_twice,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % once or twice, men",42,pct,,chart,N,,
C4_5_men_three_five,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % three to five times, men",23,pct,,chart,N,,
C4_5_men_more_five,23,Chart 4.5,"Times experienced physical violence and harassment at work (those who experienced it): % more than five times, men",33,pct,,chart,N,,
C4_6_women_yes,23,Chart 4.6,"Ever experienced psychological violence and harassment at work (ever worked): % yes, women",6,pct,,chart,N,,The 'ever experienced' values in this chart repeat those of Chart 4.5 (physical); psychological violence and harassment is about 16% for both sexes in the data.
C4_6_women_no,23,Chart 4.6,"Ever experienced psychological violence and harassment at work (ever worked): % no, women",94,pct,,chart,N,,The 'ever experienced' values in this chart repeat those of Chart 4.5 (physical); psychological violence and harassment is about 16% for both sexes in the data.
C4_6_men_yes,23,Chart 4.6,"Ever experienced psychological violence and harassment at work (ever worked): % yes, men",8,pct,,chart,N,,The 'ever experienced' values in this chart repeat those of Chart 4.5 (physical); psychological violence and harassment is about 16% for both sexes in the data.
C4_6_men_no,23,Chart 4.6,"Ever experienced psychological violence and harassment at work (ever worked): % no, men",92,pct,,chart,N,,The 'ever experienced' values in this chart repeat those of Chart 4.5 (physical); psychological violence and harassment is about 16% for both sexes in the data.
C4_6_women_once_twice,23,Chart 4.6,"Times experienced psychological violence and harassment at work (those who experienced it): % once or twice, women",39,pct,,chart,N,,
C4_6_women_three_five,23,Chart 4.6,"Times experienced psychological violence and harassment at work (those who experienced it): % three to five times, women",23,pct,,chart,N,,
C4_6_women_more_five,23,Chart 4.6,"Times experienced psychological violence and harassment at work (those who experienced it): % more than five times, women",37,pct,,chart,N,,
